Date,Balance_Status,Regime,Feed_C2_mol%,Feed_C3_mol%,Feed_iC4_mol%,Feed_nC4_mol%,Feed_iC5_mol%,Feed_nC5_mol%,Feed_C6_mol%,LPG_C2_mol%,LPG_C3_mol%,LPG_iC4_mol%,LPG_nC4_mol%,LPG_iC5_mol%,LPG_nC5_mol%,LPG_C6+_mol%,PIC3000_barg,F_kmolh,D_kmolh,RD_ratio,LPG_TVP_kgcm2
2025-03-13,Complete,normal,0.2919,8.5054,13.5302,28.2242,14.9194,10.5958,23.933,1.5164,32.7641,20.6201,42.5612,1.5452,0.6724,0.3206,17.563,279.106,57.6359,1.445,7.3924
2025-03-14,Complete,normal,0.5104,8.4828,11.1051,28.0887,20.7771,14.9092,16.1267,3.3266,31.5639,18.0544,42.0396,3.6431,1.3724,0.0001,17.6544,335.5839,58.9289,1.3716,7.8622
2025-03-15,Complete,normal,0.5408,8.8621,10.0841,29.1586,20.8455,15.3612,15.1478,3.1737,32.1069,16.2906,42.1974,4.2805,1.7662,0.1847,18.0678,296.9576,51.7404,1.3459,7.7919
2025-03-16,Complete,normal,0.147,9.8332,11.0949,28.7263,17.2875,13.6853,19.2258,1.3305,34.5449,17.2951,42.6854,3.072,1.0499,0.0223,17.56,294.8441,60.7822,1.1285,7.3948
2025-03-17,Complete,normal,0.7015,9.6742,11.2616,29.3288,20.6133,9.2345,19.1862,2.7504,34.5938,17.0175,41.8438,3.0251,0.7111,0.0582,17.6369,245.4803,53.263,1.2659,7.944
2025-03-18,Complete,normal,0.476,6.9109,10.0477,24.5781,18.3742,15.186,24.427,2.9609,28.7896,17.8339,45.1419,3.7154,1.5582,0.0001,17.6542,301.5896,51.8732,1.3354,7.4542
2025-03-19,Complete,normal,0.42,9.9621,12.4136,26.6017,18.1514,12.548,19.9032,2.75,37.2431,18.8933,38.6929,1.8304,0.5902,0.0001,17.8404,319.895,50.3766,1.3608,8.2614
2025-03-20,Complete,normal,0.4329,7.9979,11.9612,27.8982,17.7496,13.4162,20.5439,2.7762,30.1366,19.2321,43.7117,3.0469,0.9681,0.1283,17.6357,279.6828,46.4879,1.2606,7.5614
2025-03-21,Complete,normal,0.9391,8.4764,11.3209,30.9636,18.2925,11.2271,18.7806,6.0246,31.4992,17.1604,43.1156,1.6272,0.2715,0.3013,17.7554,326.9967,48.5971,1.467,8.9433
2025-03-22,Complete,normal,0.471,10.8637,12.751,28.9639,17.5724,13.0144,16.3637,2.9569,38.285,18.1584,37.8569,2.0266,0.6014,0.1148,17.4219,278.7211,50.3992,1.3134,8.4175
2025-03-23,Complete,normal,0.5174,11.4482,10.9896,29.5117,15.041,14.603,17.889,2.8298,39.1207,16.0094,39.1474,1.9272,0.8924,0.0731,17.7182,288.9845,48.1526,1.2064,8.4086
2025-03-24,Complete,normal,0.6276,9.6768,13.9406,26.1487,15.9328,12.8807,20.7928,3.4732,34.097,20.965,38.2189,2.4624,0.7834,0.0001,17.9342,280.1566,50.1017,1.2028,8.2512
2025-03-25,Complete,turndown,0.0106,6.2126,8.165,25.7784,22.638,14.7449,22.4504,0.2599,40.1219,18.2383,40.8308,0.5489,0.0001,0.0001,17.4423,134.9178,20.4056,4.2488,7.6252
2025-03-26,Complete,turndown,0.452,5.0867,11.1732,19.1955,22.3442,15.934,25.8143,3.2635,30.2553,24.9072,39.8036,1.3353,0.435,0.0001,17.4732,126.4192,18.294,2.5312,7.913
2025-03-27,Complete,turndown,0.04,6.8565,6.4866,23.6984,24.5063,13.4236,24.9887,0.303,44.2594,13.9705,40.6685,0.2967,0.1382,0.3636,17.889,96.679,13.0008,3.3605,7.9521
2025-03-28,Complete,turndown,0.3732,7.7539,10.8126,18.9597,25.3883,18.5069,18.2053,2.329,45.9689,23.9057,27.4971,0.15,0.1492,0.0001,17.5019,63.9134,10.4811,3.7257,9.079
2025-03-29,Complete,turndown,0.3458,7.8115,7.2853,19.6291,25.9156,18.6804,20.3323,2.2526,47.9542,19.2903,30.0703,0.2761,0.0001,0.1563,17.1646,71.5348,11.6099,5.6893,9.1596
